JAPANESE SPELLING | ENGLISH SPELLING | SEARCH TAGS
がっこう | School | medium, location, chap1, chap3, hiragana
あい | Love | easy, expression, hiragana, general
いま | Now | easy, chap1, hiragana, expression
えいご | English | easy, chap1, hiragana, general
こうこう | High School | easy, chap1, hiragana, location, general
ごご | P.M. | easy, chap1, hiragana, general, time
ごぜん | A.M. | easy, chap1, hiragana, general, time
せんこう | Major | easy, chap1, hiragana, general
せんせい | Teacher / Professor | easy, chap1, hiragana, general, people
だいがく | College / University |  medium, chap1, hiragana, general, location
でんわ | Telephone | easy, chap1, hiragana, general, object
ともだち | Friend | medium, chap1, hiragana, general, people
なまえ | Name | easy, chap1, hiragana, general, expression, people
なに | What | easy, chap1, hiragana, general, expression
にほん | Japan |  easy, chap1, hiragana, general, location
はん | Half | easy, chap1, hiragana, general, expression, time
ばんごお | Number | medium, chap1, hiragana, general
りゅうがくせい | International Student | hard, chap1, hiragana, general, people
わたし | I (Myself) | easy, chap1, hiragana, general, people
アメリカ | America | easy, medium, chap1, chap2, katakana, location, general
イギリス | Britain |  easy, medium, chap1, chap2, katakana, location, general
オーストラリア | Australia | hard, chap1, katakana, location, general
かんこく | Korea | easy, medium, chap1, chap2, hiragana, location, general
スウェーデン | Sweden | medium, hard, chap1, katakana, location, general
ちゅうごく | China | | medium, hard, chap1, chap2, hiragana, location, general
かがく | Science | easy, chap1, general, hiragana
アジアけんきゅう | Asian Studies | hard, chap1, general, hiragana, katakana
けいざい | Economics | easy, medium, chap1, chap2, general, hiragana
こくさいかんけい | International Relations | hard, chap1, hiragana, general
コンピューター | Computer | medium, hard, chap1, chap2, general, katakana
じんるいがく | Anthropology | medium, hard, chap1, general, hiragana
せいじ | Politics | easy, medium, chap1, general, hiragana
ビジネス | Business | medium, hard, chap1, chap2, general, katakana
ぶんがく | Literature | medium, hard, chap1, general, hiragana
れきし | History | easy, general, chap1, chap2, hiragana
しごと | Job / Work | easy, chap1, hiragana, general
いしゃ | Doctor | easy, chap1, hiragana, general, people
かいしゃいん | Office Worker | medium, hard, chap1, hiragana, general, people
しゅふ | Housewife | easy, chap1, general, hiragana, people
だいがくいんせい | Graduate Student | hard, chap1, general, hiragana, people
だいがくせい | College Student | medium, hard, chap1, general, hiragana, people
べんごし | Lawyer | easy, medium, chap1, general, hiragana, people
おかあさん | Mother | medium, hard, chap1, chap2, general, hiragana, people
おとうさん | Father | medium, hard, chap1, chap2, general, hiragana, people
おねえさん | Older Sister | medium, hard, chap1, general, hiragana, people
おにいさん | Older Brother | medium, hard, chap1, general, hiragana, people
いもうと | Younger Sister | easy, medium, chap1, general, hiragana, people
おとうと | Younger Brother | easy, medium, chap1, general, hiragana, people
これ | This One Here | easy, chap2, hiragana, expression
それ | That One There | easy, chap2, hiragana, expression
あれ | That Over There | easy, chap2, hiragana, expression
どれ | Which One? | easy, chap2, hiragana, expression
ここ | Right Here | easy, chap2, hiragana, expression
そこ | Right There | easy, chap2, hiragana, expression
あそこ | Over There | easy, chap2, hiragana, expression
どこ | Where? | easy, chap2, hiragana, expression
だれ | Who? | easy, chap2, hiragana, expression
おいしい | Delicious | easy, medium chap2, hiragana, adjective, expression
さかな | Fish | easy, chap2, hiragana, general, food
とんかつ | Pork Cutlet | easy, medium, chap2, hiragana, general, food
にく | Meat | easy, chap2, hiragana, general, food
メニュー | Menu | easy, chap2, katakana, general, food
やさい | Vegetable | easy, chap2, hiragana, general, food
コーラ | Cola | easy, hiragana, general, food
えんぴつ | Pencil | easy, medium, chap2, hiragana, general, object
かさ | Umbrella | easy, chap2, hiragana, general, object
かばん | Bag | easy, chap2, hiragana, general, object
くつ | Shoes | easy, chap2, hiragana, general, object
さいふ | Wallet | easy, chap2, hiragana, general, object
ジーンズ | Jeans | easy, chap2, katakana, general, object
じしょ | Dictionary | easy, chap2, hiragana, general, object
じてんしゃ | Bicycle | medium, hard, chap2, hiragana, general, object
しんぶん | Newspaper | easy, medium, chap2, hiragana, general, object
Tシャツ | T-Shirt | easy, medium, chap2, katakana, general, object
とけい | Watch / Clock | easy, chap2, hiragana, general, object
ノート | Notebook | easy, chap2, katakana, general, object
ペン | Pen | easy, chap2, katakana, general, object
ぼうし | Hat | easy, chap2, general, hiragana, object
ほん | Book | easy, chap2, general, hiragana, object
きっさてん | Cafe |  medium, hard, chap2, location, hiragana
ぎんこう | Bank | easy, medium, chap2, location, hiragana
トイレ | Restroom | easy, chap2, katakana, location
としょかん | Library | medium, hard, chap2, hiragana, location
